CaseID,B3,ND2,ppethm,ppeduc5,GH1,B7_a,weight_pop,worse_off
475,1,3,1,1,2,1,21053.5119,1
476,3,3,1,2,2,2,37119.8736,0
477,3,2,1,3,1,2,25291.9499,0
478,3,2,1,5,2,4,14140.9356,0
479,3,2,1,4,1,2,12641.8712,0
480,4,1,1,3,3,1,21654.1543,0
481,3,3,1,3,2,2,12933.6528,0
482,4,2,1,3,1,1,26472.4545,0
483,4,3,1,3,1,3,30038.9379,0
484,3,3,1,2,2,3,17404.0326,0
485,2,2,1,4,2,3,8930.844499999999,1
486,4,3,1,2,2,2,36242.7783,0
487,2,3,4,3,2,2,14300.5259,1
488,1,3,1,2,3,1,17782.6816,1
489,3,2,1,5,2,3,21579.2115,0
490,3,2,3,4,1,3,29150.803,0
491,2,3,1,5,1,1,20481.7834,1
492,2,4,1,5,2,1,10965.4948,1
493,3,3,1,3,1,1,12953.5659,0
494,2,3,2,2,3,2,23235.1701,1
495,1,3,1,2,2,1,22386.3929,1
496,1,3,1,3,1,1,15748.3939,1
497,4,3,1,2,1,2,27052.0386,0
498,4,4,1,5,1,3,27746.4885,0
499,4,3,2,2,3,2,29582.1365,0
500,3,3,1,5,1,2,13090.7683,0
501,2,3,1,4,3,3,10409.0856,1
502,4,3,1,3,1,3,30702.6562,0
503,5,2,2,3,3,3,31593.5977,0
504,2,2,2,3,1,2,30054.151,1
505,2,3,1,4,3,2,21555.6205,1
506,4,3,2,4,1,3,16490.7957,0
507,3,1,5,5,2,3,4282.3836,0
508,2,2,1,3,2,2,13577.5963,1
509,1,3,1,5,2,2,7300.0882,1
510,3,2,1,2,2,3,18596.2755,0
511,2,1,1,2,1,2,16258.6986,1
512,3,3,1,3,2,1,32347.7257,0
513,2,3,1,2,2,2,15923.6687,1
514,3,3,1,3,2,3,10509.691,0
515,1,3,1,4,2,1,16302.7652,1
516,5,3,1,4,3,3,21369.1931,0
517,3,3,1,3,2,2,13704.3897,0
518,1,3,1,5,2,1,10857.7405,1
519,3,3,1,4,2,3,11248.1266,0
520,5,3,2,4,1,3,19604.8053,0
521,2,3,1,3,2,1,14305.0933,1
522,1,3,1,5,3,1,23687.5548,1
523,3,2,1,3,2,3,13294.827,0
524,2,3,1,3,3,1,11981.7294,1
525,3,3,1,2,2,3,17530.7834,0
526,3,3,1,4,1,3,21072.4714,0
527,4,2,1,4,1,3,9731.6919,0
528,3,3,1,2,4,2,63360.0998,0
529,1,2,5,2,1,2,17962.2974,1
530,3,2,1,3,2,2,13150.606,0
531,2,3,1,3,1,2,32983.7615,1
532,1,3,4,4,3,1,11471.384,1
533,4,3,1,3,2,2,16361.1544,0
534,2,3,1,2,2,3,20050.4706,1
535,2,3,1,4,3,3,10305.5614,1
536,3,2,1,3,3,2,24124.51,0
537,1,3,1,2,2,2,15051.257,1
538,4,3,2,2,1,3,33954.6643,0
539,1,3,1,3,2,2,27062.0785,1
540,2,2,1,3,2,2,18597.4579,1
541,4,2,1,5,3,2,21279.8529,0
542,4,2,1,5,1,3,16142.5632,0
543,2,2,1,3,2,1,17821.3844,1
544,3,3,1,2,2,2,15280.2056,0
545,2,1,4,2,1,2,31538.1668,1
546,3,3,2,5,3,3,25574.1687,0
548,2,1,2,4,1,1,21493.2073,1
549,3,3,1,3,3,2,13855.2246,0
550,3,2,1,3,1,3,11497.5571,0
551,5,3,1,3,1,3,15973.3754,0
552,1,3,1,2,2,2,16183.5754,1
553,3,3,1,3,2,3,13758.0015,0
554,4,3,1,4,1,3,9626.1235,0
555,3,2,1,4,1,2,15321.6202,0
556,2,3,1,2,2,2,23188.1982,1
557,4,2,1,3,2,3,21722.5301,0
558,3,2,1,4,2,3,8657.652,0
559,2,3,1,2,2,2,16098.9296,1
560,2,3,1,2,2,2,18800.2184,1
561,3,3,1,3,3,2,20250.0111,0
562,3,3,1,4,1,2,28993.6131,0
563,3,1,1,3,1,2,34466.2864,0
564,3,3,1,2,1,3,23137.7242,0
565,4,3,1,3,1,2,24770.7792,0
566,3,3,1,5,1,3,9019.476000000001,0
567,3,3,4,3,3,3,21500.7201,0
568,3,2,4,4,1,3,22727.7922,0
569,2,1,1,3,1,2,13374.1585,1
570,2,2,1,3,1,2,17027.4708,1
571,4,3,2,2,2,2,25301.7277,0
572,4,3,4,2,1,3,40459.8301,0
573,1,3,1,3,1,1,20450.9761,1
574,3,3,1,4,1,3,10512.3875,0
575,3,3,2,4,4,1,23515.4649,0
576,2,2,1,1,3,1,19435.5888,1
577,5,4,1,5,2,4,20481.7834,0
578,2,3,1,3,1,1,13704.3897,1
579,3,3,1,2,1,3,26275.2794,0
580,4,3,1,4,1,3,16302.7652,0
581,3,2,1,5,2,3,16302.7652,0
582,3,2,1,5,2,3,14001.9772,0
583,2,3,1,5,2,2,21579.2115,1
584,1,3,1,4,1,2,13900.4068,1
585,3,3,1,5,1,3,14140.9356,0
586,2,3,1,2,2,2,18596.2755,1
587,1,3,1,3,1,1,13863.2747,1
588,3,3,1,4,1,2,12517.6437,0
589,3,3,1,3,3,2,16361.7927,0
590,4,3,1,3,2,3,11072.8075,0
591,3,1,1,4,1,2,25979.7551,0
592,2,2,1,3,2,3,11325.2852,1
593,4,3,1,4,2,2,13090.7683,0
594,2,3,3,5,1,1,29150.803,1
595,4,5,1,2,3,2,18800.2184,0
596,4,3,1,3,3,2,11650.3249,0
597,1,3,1,2,1,2,18746.3744,1
598,2,3,1,4,2,2,13063.8424,1
599,4,3,3,1,2,2,72675.2684,0
